State,City,Crop,pH soil,Area (ha),avgTemp,Rainfall (mm),Yield (ton/ha),Avg_smlvl,Soil Type,Nutrient Level,Credit Score,Risk Category,Risk Category Encoded,Predicted Risk Category,Risk Score (%)
Gujarat,Ahmedabad,Rice,4.0,82001,30,595,6.814359653355507,16.0,Mixed Soil,Low,360,High Risk,3,3,87
Gujarat,Ahmedabad,Jowar,4.0,101,22,10,5.388223433761785,16.0,Mixed Soil,Low,896,Very Low Risk,0,0,4
Gujarat,Ahmedabad,Wheat,4.0,81001,22,10,7.419013244574311,16.0,Mixed Soil,Low,726,Low Risk,1,1,24
Gujarat,Ahmedabad,Bajra,4.0,7901,31,81,4.623638751914587,16.0,Mixed Soil,Low,851,Very Low Risk,0,0,7
Gujarat,Ahmedabad,Groundnut,4.0,101,31,81,9.46784265159362,16.0,Mixed Soil,Low,874,Very Low Risk,0,0,9
Gujarat,Ahmedabad,Sugarcane,4.0,501,28,207,2.242025782643446,16.0,Mixed Soil,Low,840,Low Risk,1,1,34
Gujarat,Ahmedabad,Bajra,4.0,38201,30,605,7.015266396081837,16.0,Mixed Soil,Low,325,High Risk,3,3,98
Gujarat,Ahmedabad,Groundnut,4.0,2101,30,605,4.302885386064634,16.0,Mixed Soil,Low,597,Medium Risk,2,2,52
Gujarat,Ahmedabad,Maize,4.0,2701,30,605,3.1273209893522047,16.0,Mixed Soil,Low,542,Medium Risk,2,2,69
Gujarat,Ahmedabad,Rice,4.0,47501,30,605,5.615187142886284,16.0,Mixed Soil,Low,459,High Risk,3,3,89
Gujarat,Ahmedabad,Jowar,4.0,201,22,12,4.2461902758947065,16.0,Mixed Soil,Low,852,Very Low Risk,0,0,1
Gujarat,Ahmedabad,Wheat,4.0,79501,22,12,9.857855921307394,16.0,Mixed Soil,Low,757,Low Risk,1,1,34
Gujarat,Ahmedabad,Bajra,4.0,2701,30,76,9.808595055487013,16.0,Mixed Soil,Low,894,Very Low Risk,0,0,9
Gujarat,Ahmedabad,Groundnut,4.0,101,30,76,8.56021712718797,16.0,Mixed Soil,Low,860,Very Low Risk,0,0,13
Gujarat,Ahmedabad,Sugarcane,4.0,501,27,214,9.854762861163316,16.0,Mixed Soil,Low,748,Low Risk,1,1,30
Gujarat,Ahmedabad,Bajra,4.0,29301,31,599,4.305730674136449,16.0,Mixed Soil,Low,671,Medium Risk,2,2,66
Gujarat,Ahmedabad,Groundnut,4.0,101,31,599,6.857720931926844,16.0,Mixed Soil,Low,618,Medium Risk,2,2,63
Gujarat,Ahmedabad,Maize,4.0,701,31,599,2.023846502987973,16.0,Mixed Soil,Low,534,Medium Risk,2,2,51
Gujarat,Ahmedabad,Rice,4.0,83201,31,599,2.03322990852252,16.0,Mixed Soil,Low,442,High Risk,3,3,75
Gujarat,Ahmedabad,Wheat,4.0,111401,24,9,4.19304119788379,16.0,Mixed Soil,Low,774,Low Risk,1,1,32
Gujarat,Ahmedabad,Bajra,4.0,2001,30,90,7.449099417466333,16.0,Mixed Soil,Low,855,Very Low Risk,0,0,13
Gujarat,Ahmedabad,Sugarcane,4.0,301,28,214,3.168865358616274,16.0,Mixed Soil,Low,712,Low Risk,1,1,30
Gujarat,Ahmedabad,Bajra,4.0,13201,29,593,5.462436262410809,16.0,Mixed Soil,Low,528,Medium Risk,2,2,56
Gujarat,Ahmedabad,Groundnut,4.0,101,29,593,2.461217988389164,16.0,Mixed Soil,Low,630,Medium Risk,2,2,64
Gujarat,Ahmedabad,Jowar,4.0,1401,29,593,5.589548606069204,16.0,Mixed Soil,Low,666,Medium Risk,2,2,58
Gujarat,Ahmedabad,Rice,4.0,78901,29,593,4.3860987485767735,16.0,Mixed Soil,Low,460,High Risk,3,3,71
Gujarat,Ahmedabad,Wheat,4.0,124301,23,17,4.743641216280228,16.0,Mixed Soil,Low,694,Medium Risk,2,2,60
Gujarat,Ahmedabad,Bajra,4.0,1501,31,96,6.029138491961451,16.0,Mixed Soil,Low,886,Very Low Risk,0,0,1
Gujarat,Ahmedabad,Rice,4.0,101,31,96,3.5479148084296632,16.0,Mixed Soil,Low,862,Very Low Risk,0,0,7
Gujarat,Ahmedabad,Sugarcane,4.0,101,28,201,5.104117264699223,16.0,Mixed Soil,Low,785,Low Risk,1,1,33
Gujarat,Ahmedabad,Bajra,4.0,19301,31,597,2.7879131481668544,16.0,Mixed Soil,Low,558,Medium Risk,2,2,53
Gujarat,Ahmedabad,Groundnut,4.0,101,31,597,8.257072011603395,16.0,Mixed Soil,Low,619,Medium Risk,2,2,52
Gujarat,Ahmedabad,Jowar,4.0,801,31,597,2.755679560968175,16.0,Mixed Soil,Low,551,Medium Risk,2,2,67
Gujarat,Ahmedabad,Maize,4.0,201,31,597,8.91467145365554,16.0,Mixed Soil,Low,563,Medium Risk,2,2,58
Gujarat,Ahmedabad,Rice,4.0,94801,31,597,9.937270055477615,16.0,Mixed Soil,Low,468,High Risk,3,3,77
Gujarat,Ahmedabad,Wheat,4.0,108001,23,17,5.396632636815,16.0,Mixed Soil,Low,726,Low Risk,1,1,32
Gujarat,Ahmedabad,Bajra,4.0,2901,30,99,8.907125323386715,16.0,Mixed Soil,Low,795,Low Risk,1,1,32
Gujarat,Ahmedabad,Rice,4.0,1001,30,99,4.547527883447785,16.0,Mixed Soil,Low,851,Very Low Risk,0,0,11
Gujarat,Ahmedabad,Sugarcane,4.0,101,28,207,8.483852824195804,16.0,Mixed Soil,Low,732,Low Risk,1,1,24
Gujarat,Ahmedabad,Bajra,4.0,23501,30,500,8.702642695917492,16.0,Mixed Soil,Low,592,Medium Risk,2,2,60
Gujarat,Ahmedabad,Groundnut,4.0,201,30,500,6.437590826701073,16.0,Mixed Soil,Low,694,Medium Risk,2,2,58
Gujarat,Ahmedabad,Rice,4.0,97301,30,500,5.361194076920731,16.0,Mixed Soil,Low,381,High Risk,3,3,94
Gujarat,Ahmedabad,Jowar,4.0,1301,23,16,7.983361797544833,16.0,Mixed Soil,Low,880,Very Low Risk,0,0,10
Gujarat,Ahmedabad,Wheat,4.0,132401,23,16,2.651063297202961,16.0,Mixed Soil,Low,549,Medium Risk,2,2,57
Gujarat,Ahmedabad,Bajra,4.0,1101,31,94,2.0645952406374057,16.0,Mixed Soil,Low,854,Very Low Risk,0,0,2
Gujarat,Ahmedabad,Groundnut,4.0,101,31,94,5.622208380325744,16.0,Mixed Soil,Low,860,Very Low Risk,0,0,5
Gujarat,Ahmedabad,Rice,4.0,2801,31,94,4.03215200738861,16.0,Mixed Soil,Low,896,Very Low Risk,0,0,12
Gujarat,Ahmedabad,Bajra,4.0,21201,29,535,4.330192397172332,16.0,Mixed Soil,Low,634,Medium Risk,2,2,54
Gujarat,Ahmedabad,Groundnut,4.0,101,29,535,9.926232736289435,16.0,Mixed Soil,Low,644,Medium Risk,2,2,60
Gujarat,Ahmedabad,Jowar,4.0,5001,29,535,8.104873105537655,16.0,Mixed Soil,Low,626,Medium Risk,2,2,60
Gujarat,Ahmedabad,Rice,4.0,105201,29,535,7.00597446352328,16.0,Mixed Soil,Low,396,High Risk,3,3,91
Gujarat,Ahmedabad,Wheat,4.0,150201,23,15,8.902788418790209,16.0,Mixed Soil,Low,623,Medium Risk,2,2,66
Gujarat,Ahmedabad,Bajra,4.0,1201,30,103,5.36803638122677,16.0,Mixed Soil,Low,783,Low Risk,1,1,30
Gujarat,Ahmedabad,Groundnut,4.0,101,30,103,7.502486724693413,16.0,Mixed Soil,Low,853,Very Low Risk,0,0,1
Gujarat,Ahmedabad,Rice,4.0,2801,30,103,2.25957621976697,16.0,Mixed Soil,Low,846,Low Risk,1,1,28
Gujarat,Ahmedabad,Sugarcane,4.0,101,27,220,5.204527805987213,16.0,Mixed Soil,Low,792,Low Risk,1,1,27
Gujarat,Ahmedabad,Bajra,4.0,15001,30,504,5.199816621882936,16.0,Mixed Soil,Low,582,Medium Risk,2,2,60
Gujarat,Ahmedabad,Groundnut,4.0,201,30,504,7.878137014809012,16.0,Mixed Soil,Low,661,Medium Risk,2,2,51
Gujarat,Ahmedabad,Jowar,4.0,12801,30,504,9.287433551248789,16.0,Mixed Soil,Low,629,Medium Risk,2,2,52
Gujarat,Ahmedabad,Rice,4.0,96101,30,504,5.3831646492391085,16.0,Mixed Soil,Low,382,High Risk,3,3,99
Gujarat,Ahmedabad,Wheat,4.0,140801,22,19,2.056542291071476,16.0,Mixed Soil,Low,823,Low Risk,1,1,31
Gujarat,Ahmedabad,Bajra,4.0,1401,31,98,6.941726086857432,16.0,Mixed Soil,Low,889,Very Low Risk,0,0,3
Gujarat,Ahmedabad,Groundnut,4.0,201,31,98,4.280621575255243,16.0,Mixed Soil,Low,885,Very Low Risk,0,0,5
Gujarat,Ahmedabad,Rice,4.0,2301,31,98,9.692791827080612,16.0,Mixed Soil,Low,837,Low Risk,1,1,30
Gujarat,Ahmedabad,Sugarcane,4.0,101,28,214,3.9547028865210505,16.0,Mixed Soil,Low,748,Low Risk,1,1,28
Gujarat,Ahmedabad,Bajra,4.0,12701,30,517,8.466314458313335,16.0,Mixed Soil,Low,565,Medium Risk,2,2,57
Gujarat,Ahmedabad,Groundnut,4.0,101,30,517,4.670924003139721,16.0,Mixed Soil,Low,655,Medium Risk,2,2,66
Gujarat,Ahmedabad,Maize,4.0,301,30,517,3.505632172281432,16.0,Mixed Soil,Low,682,Medium Risk,2,2,53
Gujarat,Ahmedabad,Rice,4.0,83701,30,517,7.940600355611992,16.0,Mixed Soil,Low,456,High Risk,3,3,87
Gujarat,Ahmedabad,Wheat,4.0,91501,23,15,2.6160815986511867,16.0,Mixed Soil,Low,608,Medium Risk,2,2,65
Gujarat,Ahmedabad,Bajra,4.0,901,30,106,5.478882774315191,16.0,Mixed Soil,Low,777,Low Risk,1,1,27
Gujarat,Ahmedabad,Rice,4.0,5301,30,106,2.5058269512638125,16.0,Mixed Soil,Low,812,Low Risk,1,1,33
Gujarat,Ahmedabad,Sugarcane,4.0,101,27,241,9.528418807089656,16.0,Mixed Soil,Low,849,Low Risk,1,1,31
Gujarat,Ahmedabad,Bajra,4.0,12801,30,494,5.918436847334961,16.0,Mixed Soil,Low,615,Medium Risk,2,2,56
Gujarat,Ahmedabad,Groundnut,4.0,101,30,494,3.658403537729458,16.0,Mixed Soil,Low,685,Medium Risk,2,2,55
Gujarat,Ahmedabad,Jowar,4.0,201,30,494,2.1640061084773503,16.0,Mixed Soil,Low,527,Medium Risk,2,2,57
Gujarat,Ahmedabad,Maize,4.0,101,30,494,2.346617242731779,16.0,Mixed Soil,Low,526,Medium Risk,2,2,64
Gujarat,Ahmedabad,Rice,4.0,103501,30,494,3.0754713299303127,16.0,Mixed Soil,Low,450,High Risk,3,3,80
Gujarat,Ahmedabad,Wheat,4.0,230401,23,6,6.546390978143635,16.0,Mixed Soil,Low,386,High Risk,3,3,93
Gujarat,Ahmedabad,Bajra,4.0,1801,30,75,2.4103283998333813,16.0,Mixed Soil,Low,898,Very Low Risk,0,0,13
Gujarat,Ahmedabad,Rice,4.0,10001,30,75,8.196770067117146,16.0,Mixed Soil,Low,817,Low Risk,1,1,21
Gujarat,Ahmedabad,Sugarcane,4.0,101,28,192,7.890293732332294,16.0,Mixed Soil,Low,827,Low Risk,1,1,21
Gujarat,Ahmedabad,Bajra,4.0,12901,29,521,9.752751312554942,16.0,Mixed Soil,Low,653,Medium Risk,2,2,67
Gujarat,Ahmedabad,Groundnut,4.0,201,29,521,6.096094523825902,16.0,Mixed Soil,Low,646,Medium Risk,2,2,56
Gujarat,Ahmedabad,Rice,4.0,119001,29,521,4.313759797746958,16.0,Mixed Soil,Low,484,High Risk,3,3,74
Gujarat,Ahmedabad,Jowar,4.0,9001,23,12,6.545190520726655,16.0,Mixed Soil,Low,882,Very Low Risk,0,0,0
Gujarat,Ahmedabad,Wheat,4.0,189801,23,12,7.573746507565234,16.0,Mixed Soil,Low,617,Medium Risk,2,2,52
Gujarat,Ahmedabad,Bajra,4.0,3501,30,95,5.985690052225969,16.0,Mixed Soil,Low,846,Low Risk,1,1,33
Gujarat,Ahmedabad,Rice,4.0,14101,30,95,4.825530139444426,16.0,Mixed Soil,Low,776,Low Risk,1,1,33
Gujarat,Ahmedabad,Bajra,4.0,1701,30,531,4.885982947852398,16.0,Mixed Soil,Low,603,Medium Risk,2,2,60
Gujarat,Ahmedabad,Groundnut,4.0,101,30,531,7.366710704893705,16.0,Mixed Soil,Low,622,Medium Risk,2,2,67
Gujarat,Ahmedabad,Rice,4.0,107801,30,531,5.802307388085119,16.0,Mixed Soil,Low,324,High Risk,3,3,95
Gujarat,Ahmedabad,Wheat,4.0,178801,23,12,2.688051098210756,16.0,Mixed Soil,Low,571,Medium Risk,2,2,57
Gujarat,Ahmedabad,Bajra,4.0,901,31,99,2.7744014921095737,16.0,Mixed Soil,Low,880,Very Low Risk,0,0,6
Gujarat,Ahmedabad,Rice,4.0,4701,31,99,5.296768887324544,16.0,Mixed Soil,Low,826,Low Risk,1,1,26
Gujarat,Gandhinagar,Bajra,4.0,4801,32,651,3.471659296953896,16.0,Mixed Soil,Low,458,High Risk,3,3,84
Gujarat,Gandhinagar,Wheat,4.0,8801,24,12,3.5128671514695657,16.0,Mixed Soil,Low,872,Very Low Risk,0,0,12
Gujarat,Gandhinagar,Bajra,4.0,6001,32,74,2.9337390591741777,16.0,Mixed Soil,Low,881,Very Low Risk,0,0,14
Gujarat,Gandhinagar,Groundnut,4.0,101,32,74,7.9658502100121025,16.0,Mixed Soil,Low,879,Very Low Risk,0,0,14
Gujarat,Gandhinagar,Maize,4.0,301,29,246,6.09411786474337,16.0,Mixed Soil,Low,793,Low Risk,1,1,28
Gujarat,Gandhinagar,Rice,4.0,7201,29,246,6.741768413611829,16.0,Mixed Soil,Low,623,Medium Risk,2,2,65
Gujarat,Gandhinagar,Bajra,4.0,3701,31,701,7.907396949257464,16.0,Mixed Soil,Low,478,High Risk,3,3,85
Gujarat,Gandhinagar,Groundnut,4.0,101,31,701,5.77066784526963,16.0,Mixed Soil,Low,341,High Risk,3,3,87
Gujarat,Gandhinagar,Jowar,4.0,3301,31,701,3.943501309888414,16.0,Mixed Soil,Low,367,High Risk,3,3,87
Gujarat,Gandhinagar,Maize,4.0,201,31,701,4.837298333598674,16.0,Mixed Soil,Low,445,High Risk,3,3,74
Gujarat,Gandhinagar,Rice,4.0,5901,31,701,3.563684832545883,16.0,Mixed Soil,Low,402,High Risk,3,3,73
Gujarat,Gandhinagar,Wheat,4.0,7101,24,13,3.1479674828468296,16.0,Mixed Soil,Low,866,Very Low Risk,0,0,14
Gujarat,Gandhinagar,Bajra,4.0,5901,32,91,3.58682668335934,16.0,Mixed Soil,Low,717,Low Risk,1,1,34
Gujarat,Gandhinagar,Groundnut,4.0,101,32,91,8.156727572393535,16.0,Mixed Soil,Low,889,Very Low Risk,0,0,1
Gujarat,Gandhinagar,Bajra,4.0,3001,30,661,6.565533765839975,16.0,Mixed Soil,Low,462,High Risk,3,3,70
Gujarat,Gandhinagar,Groundnut,4.0,401,30,661,2.695638545757453,16.0,Mixed Soil,Low,312,High Risk,3,3,85
Gujarat,Gandhinagar,Maize,4.0,101,30,661,6.0592083103612415,16.0,Mixed Soil,Low,409,High Risk,3,3,73
Gujarat,Gandhinagar,Rice,4.0,7901,30,661,9.450968172667356,16.0,Mixed Soil,Low,365,High Risk,3,3,90
Gujarat,Gandhinagar,Wheat,4.0,7301,23,12,8.295879979907003,16.0,Mixed Soil,Low,900,Very Low Risk,0,0,6
Gujarat,Gandhinagar,Bajra,4.0,4701,31,80,6.238636313027423,16.0,Mixed Soil,Low,862,Very Low Risk,0,0,12
Gujarat,Gandhinagar,Groundnut,4.0,401,31,80,8.310979327499684,16.0,Mixed Soil,Low,878,Very Low Risk,0,0,12
Gujarat,Gandhinagar,Bajra,4.0,3501,30,593,2.6231146603620017,16.0,Mixed Soil,Low,637,Medium Risk,2,2,53
Gujarat,Gandhinagar,Groundnut,4.0,301,30,593,8.850464506439385,16.0,Mixed Soil,Low,538,Medium Risk,2,2,52
Gujarat,Gandhinagar,Jowar,4.0,1101,30,593,9.851786176515256,16.0,Mixed Soil,Low,559,Medium Risk,2,2,59
Gujarat,Gandhinagar,Maize,4.0,201,30,593,7.572304216410846,16.0,Mixed Soil,Low,698,Medium Risk,2,2,53
Gujarat,Gandhinagar,Rice,4.0,7601,30,593,4.005271399575183,16.0,Mixed Soil,Low,609,Medium Risk,2,2,50
Gujarat,Gandhinagar,Wheat,4.0,7001,23,17,8.31899860015232,16.0,Mixed Soil,Low,880,Very Low Risk,0,0,3
Gujarat,Gandhinagar,Bajra,4.0,4001,31,85,6.083917401845153,16.0,Mixed Soil,Low,893,Very Low Risk,0,0,6
Gujarat,Gandhinagar,Groundnut,4.0,401,31,85,4.221863519624479,16.0,Mixed Soil,Low,887,Very Low Risk,0,0,10
Gujarat,Gandhinagar,Bajra,4.0,4201,30,671,7.222829122893397,16.0,Mixed Soil,Low,439,High Risk,3,3,74
Gujarat,Gandhinagar,Groundnut,4.0,301,30,671,2.584110219089066,16.0,Mixed Soil,Low,348,High Risk,3,3,94
Gujarat,Gandhinagar,Jowar,4.0,4201,30,671,6.626429179863763,16.0,Mixed Soil,Low,448,High Risk,3,3,71
Gujarat,Gandhinagar,Maize,4.0,101,30,671,7.750221064774766,16.0,Mixed Soil,Low,319,High Risk,3,3,91
Gujarat,Gandhinagar,Rice,4.0,7001,30,671,3.6613641579235177,16.0,Mixed Soil,Low,362,High Risk,3,3,90
Gujarat,Gandhinagar,Wheat,4.0,7701,23,13,4.496665361097512,16.0,Mixed Soil,Low,896,Very Low Risk,0,0,10
Gujarat,Gandhinagar,Bajra,4.0,6001,31,94,7.1255327947112015,16.0,Mixed Soil,Low,796,Low Risk,1,1,22
Gujarat,Gandhinagar,Groundnut,4.0,201,31,94,6.655812588923001,16.0,Mixed Soil,Low,867,Very Low Risk,0,0,8
Gujarat,Gandhinagar,Bajra,4.0,3901,30,634,9.625225128761834,16.0,Mixed Soil,Low,381,High Risk,3,3,98
Gujarat,Gandhinagar,Groundnut,4.0,901,30,634,9.467742857227638,16.0,Mixed Soil,Low,620,Medium Risk,2,2,58
Gujarat,Gandhinagar,Maize,4.0,201,30,634,4.388329154206691,16.0,Mixed Soil,Low,600,Medium Risk,2,2,68
Gujarat,Gandhinagar,Rice,4.0,4601,30,634,3.116481530118117,16.0,Mixed Soil,Low,388,High Risk,3,3,87
Gujarat,Gandhinagar,Wheat,4.0,6501,22,17,7.027727271208039,16.0,Mixed Soil,Low,874,Very Low Risk,0,0,6
Gujarat,Gandhinagar,Bajra,4.0,1001,31,85,5.165021171634561,16.0,Mixed Soil,Low,893,Very Low Risk,0,0,14
Gujarat,Gandhinagar,Groundnut,4.0,101,31,85,2.0931615411023543,16.0,Mixed Soil,Low,879,Very Low Risk,0,0,6
Gujarat,Gandhinagar,Bajra,4.0,28901,31,507,8.894470164270587,16.0,Mixed Soil,Low,541,Medium Risk,2,2,67
Gujarat,Gandhinagar,Groundnut,4.0,2101,31,507,8.262756441328555,16.0,Mixed Soil,Low,543,Medium Risk,2,2,60
Gujarat,Gandhinagar,Jowar,4.0,1401,31,507,4.2934946500368,16.0,Mixed Soil,Low,512,Medium Risk,2,2,58
Gujarat,Gandhinagar,Maize,4.0,701,31,507,7.046465491237232,16.0,Mixed Soil,Low,689,Medium Risk,2,2,62
Gujarat,Gandhinagar,Rice,4.0,13101,31,507,5.941923277728732,16.0,Mixed Soil,Low,540,Medium Risk,2,2,69
Gujarat,Gandhinagar,Wheat,4.0,22901,24,11,4.240695794966492,16.0,Mixed Soil,Low,874,Very Low Risk,0,0,7
Gujarat,Gandhinagar,Bajra,4.0,10901,31,79,3.815984156760216,16.0,Mixed Soil,Low,844,Low Risk,1,1,22
Gujarat,Gandhinagar,Groundnut,4.0,501,31,79,8.721267038846431,16.0,Mixed Soil,Low,900,Very Low Risk,0,0,2
Gujarat,Gandhinagar,Bajra,4.0,19201,30,851,5.5855309793031855,16.0,Mixed Soil,Low,311,High Risk,3,3,89
Gujarat,Gandhinagar,Groundnut,4.0,2501,30,851,2.7178187039517105,16.0,Mixed Soil,Low,420,High Risk,3,3,84
Gujarat,Gandhinagar,Rice,4.0,13201,30,851,8.436653738986983,16.0,Mixed Soil,Low,396,High Risk,3,3,92
Gujarat,Gandhinagar,Wheat,4.0,26501,23,10,9.807574470014508,16.0,Mixed Soil,Low,725,Low Risk,1,1,25
Gujarat,Gandhinagar,Bajra,4.0,6401,32,88,2.0641226671427626,16.0,Mixed Soil,Low,724,Low Risk,1,1,24
Gujarat,Gandhinagar,Groundnut,4.0,401,32,88,8.49895800018265,16.0,Mixed Soil,Low,883,Very Low Risk,0,0,8
Gujarat,Gandhinagar,Bajra,4.0,19701,31,671,8.829645028679021,16.0,Mixed Soil,Low,374,High Risk,3,3,94
Gujarat,Gandhinagar,Groundnut,4.0,1901,31,671,6.203149858449969,16.0,Mixed Soil,Low,408,High Risk,3,3,87
Gujarat,Gandhinagar,Jowar,4.0,1001,31,671,2.9340172614260656,16.0,Mixed Soil,Low,386,High Risk,3,3,90
Gujarat,Gandhinagar,Rice,4.0,10001,31,671,8.610442528313532,16.0,Mixed Soil,Low,425,High Risk,3,3,83
Gujarat,Gandhinagar,Wheat,4.0,25201,23,14,3.692368590310471,16.0,Mixed Soil,Low,722,Low Risk,1,1,21
Gujarat,Gandhinagar,Bajra,4.0,7401,31,83,2.956911064511706,16.0,Mixed Soil,Low,764,Low Risk,1,1,21
Gujarat,Gandhinagar,Groundnut,4.0,201,31,83,3.427168495888421,16.0,Mixed Soil,Low,858,Very Low Risk,0,0,1
Gujarat,Gandhinagar,Rice,4.0,301,31,83,6.866271131415321,16.0,Mixed Soil,Low,899,Very Low Risk,0,0,9
